cell_type	cell_number	Relative_frequency	sample_id	timepoint	Patient	Response
B cell	1429	0.28102261553589	SCAF3516	3	7256	Non-responders
CD4 T	137	0.0269419862340216	SCAF3516	3	7256	Non-responders
Cd74 CD4	11	0.00216322517207473	SCAF3516	3	7256	Non-responders
CD8 T	103	0.0202556538839725	SCAF3516	3	7256	Non-responders
Dendritic cell	30	0.00589970501474926	SCAF3516	3	7256	Non-responders
Effector memory CD8	64	0.0125860373647984	SCAF3516	3	7256	Non-responders
Erythroblast	9	0.00176991150442478	SCAF3516	3	7256	Non-responders
Monocyte	818	0.16086529006883	SCAF3516	3	7256	Non-responders
Naive CD4	523	0.102851524090462	SCAF3516	3	7256	Non-responders
Naive CD8	620	0.121927236971485	SCAF3516	3	7256	Non-responders
Neutrophil	890	0.175024582104228	SCAF3516	3	7256	Non-responders
NK cell	207	0.0407079646017699	SCAF3516	3	7256	Non-responders
S100a9 CD4	9	0.00176991150442478	SCAF3516	3	7256	Non-responders
S100a9 CD8	17	0.00334316617502458	SCAF3516	3	7256	Non-responders
Th1	158	0.0310717797443461	SCAF3516	3	7256	Non-responders
Treg	60	0.0117994100294985	SCAF3516	3	7256	Non-responders
B cell	1368	0.335952848722986	SCAF3517	2	7265	Responders
Basophil	2	0.000491159135559921	SCAF3517	2	7265	Responders
CD4 T	128	0.031434184675835	SCAF3517	2	7265	Responders
Cd74 CD4	6	0.00147347740667976	SCAF3517	2	7265	Responders
CD8 T	140	0.0343811394891945	SCAF3517	2	7265	Responders
Dendritic cell	24	0.00589390962671906	SCAF3517	2	7265	Responders
Effector memory CD8	76	0.018664047151277	SCAF3517	2	7265	Responders
Erythroblast	116	0.0284872298624754	SCAF3517	2	7265	Responders
Hbb-bs CD8	2	0.000491159135559921	SCAF3517	2	7265	Responders
Monocyte	303	0.0744106090373281	SCAF3517	2	7265	Responders
Naive CD4	450	0.110510805500982	SCAF3517	2	7265	Responders
Naive CD8	367	0.0901277013752456	SCAF3517	2	7265	Responders
Neutrophil	763	0.18737721021611	SCAF3517	2	7265	Responders
NK cell	145	0.0356090373280943	SCAF3517	2	7265	Responders
S100a9 CD4	4	0.000982318271119843	SCAF3517	2	7265	Responders
S100a9 CD8	4	0.000982318271119843	SCAF3517	2	7265	Responders
Th1	118	0.0289783889980354	SCAF3517	2	7265	Responders
Treg	56	0.0137524557956778	SCAF3517	2	7265	Responders
B cell	493	0.295563549160671	SCAF3518	4	7259	Non-responders
CD4 T	38	0.0227817745803357	SCAF3518	4	7259	Non-responders
CD8 T	81	0.0485611510791367	SCAF3518	4	7259	Non-responders
Dendritic cell	20	0.0119904076738609	SCAF3518	4	7259	Non-responders
Effector memory CD8	24	0.0143884892086331	SCAF3518	4	7259	Non-responders
Erythroblast	56	0.0335731414868106	SCAF3518	4	7259	Non-responders
Hbb-bs CD8	3	0.00179856115107914	SCAF3518	4	7259	Non-responders
Monocyte	267	0.160071942446043	SCAF3518	4	7259	Non-responders
Naive CD4	234	0.140287769784173	SCAF3518	4	7259	Non-responders
Naive CD8	155	0.0929256594724221	SCAF3518	4	7259	Non-responders
Neutrophil	154	0.092326139088729	SCAF3518	4	7259	Non-responders
NK cell	95	0.0569544364508393	SCAF3518	4	7259	Non-responders
S100a9 CD8	1	0.000599520383693046	SCAF3518	4	7259	Non-responders
Th1	37	0.0221822541966427	SCAF3518	4	7259	Non-responders
Treg	10	0.00599520383693046	SCAF3518	4	7259	Non-responders
B cell	2772	0.30694275274056	SCAF3519	2	7262	Non-responders
Basophil	4	0.000442918835123464	SCAF3519	2	7262	Non-responders
CD4 T	326	0.0360978850625623	SCAF3519	2	7262	Non-responders
Cd74 CD4	39	0.00431845864245377	SCAF3519	2	7262	Non-responders
CD8 T	242	0.0267965895249695	SCAF3519	2	7262	Non-responders
Dendritic cell	44	0.0048721071863581	SCAF3519	2	7262	Non-responders
Effector memory CD8	81	0.00896910641125014	SCAF3519	2	7262	Non-responders
Erythroblast	125	0.0138412135976082	SCAF3519	2	7262	Non-responders
Hbb-bs CD8	6	0.000664378252685195	SCAF3519	2	7262	Non-responders
Monocyte	655	0.0725279592514672	SCAF3519	2	7262	Non-responders
Naive CD4	1403	0.155353781419555	SCAF3519	2	7262	Non-responders
Naive CD8	1118	0.123795814417008	SCAF3519	2	7262	Non-responders
Neutrophil	1683	0.186358099878197	SCAF3519	2	7262	Non-responders
NK cell	248	0.0274609677776547	SCAF3519	2	7262	Non-responders
S100a9 CD4	24	0.00265751301074078	SCAF3519	2	7262	Non-responders
S100a9 CD8	39	0.00431845864245377	SCAF3519	2	7262	Non-responders
Th1	142	0.015723618646883	SCAF3519	2	7262	Non-responders
Treg	80	0.00885837670246927	SCAF3519	2	7262	Non-responders
B cell	3344	0.44238655906866	SCAF3520	3	7249	Non-responders
Basophil	3	0.00039687789390131	SCAF3520	3	7249	Non-responders
CD4 T	215	0.0284429157295939	SCAF3520	3	7249	Non-responders
Cd74 CD4	26	0.00343960841381135	SCAF3520	3	7249	Non-responders
CD8 T	178	0.0235480883714777	SCAF3520	3	7249	Non-responders
Dendritic cell	63	0.0083344357719275	SCAF3520	3	7249	Non-responders
Effector memory CD8	57	0.00754067998412488	SCAF3520	3	7249	Non-responders
Erythroblast	51	0.00674692419632226	SCAF3520	3	7249	Non-responders
Hbb-bs CD8	7	0.000926048419103056	SCAF3520	3	7249	Non-responders
Monocyte	634	0.0838735282444768	SCAF3520	3	7249	Non-responders
Naive CD4	699	0.0924725492790052	SCAF3520	3	7249	Non-responders
Naive CD8	827	0.109406006085461	SCAF3520	3	7249	Non-responders
Neutrophil	943	0.124751951316312	SCAF3520	3	7249	Non-responders
NK cell	318	0.0420690567535388	SCAF3520	3	7249	Non-responders
S100a9 CD4	10	0.00132292631300437	SCAF3520	3	7249	Non-responders
S100a9 CD8	25	0.00330731578251091	SCAF3520	3	7249	Non-responders
Th1	107	0.0141553115491467	SCAF3520	3	7249	Non-responders
Treg	52	0.0068792168276227	SCAF3520	3	7249	Non-responders
B cell	1195	0.283645858058391	SCAF3521	1	7254	Non-responders
Basophil	8	0.00189888440541182	SCAF3521	1	7254	Non-responders
CD4 T	79	0.0187514835034417	SCAF3521	1	7254	Non-responders
Cd74 CD4	3	0.000712081652029433	SCAF3521	1	7254	Non-responders
CD8 T	68	0.0161405174460005	SCAF3521	1	7254	Non-responders
Dendritic cell	28	0.00664609541894137	SCAF3521	1	7254	Non-responders
Effector memory CD8	18	0.0042724899121766	SCAF3521	1	7254	Non-responders
Erythroblast	11	0.00261096605744125	SCAF3521	1	7254	Non-responders
Monocyte	640	0.151910752432946	SCAF3521	1	7254	Non-responders
Naive CD4	314	0.074531212912414	SCAF3521	1	7254	Non-responders
Naive CD8	269	0.0638499881319725	SCAF3521	1	7254	Non-responders
Neutrophil	1391	0.33016852599098	SCAF3521	1	7254	Non-responders
NK cell	75	0.0178020413007358	SCAF3521	1	7254	Non-responders
S100a9 CD4	8	0.00189888440541182	SCAF3521	1	7254	Non-responders
S100a9 CD8	5	0.00118680275338239	SCAF3521	1	7254	Non-responders
Th1	78	0.0185141229527652	SCAF3521	1	7254	Non-responders
Treg	23	0.00545929266555898	SCAF3521	1	7254	Non-responders
B cell	1324	0.383656911040278	SCAF3522	4	7254	Non-responders
Basophil	3	0.000869313242538395	SCAF3522	4	7254	Non-responders
CD4 T	72	0.0208635178209215	SCAF3522	4	7254	Non-responders
Cd74 CD4	4	0.00115908432338453	SCAF3522	4	7254	Non-responders
CD8 T	161	0.0466531440162272	SCAF3522	4	7254	Non-responders
Dendritic cell	44	0.0127499275572298	SCAF3522	4	7254	Non-responders
Effector memory CD8	117	0.0339032164589974	SCAF3522	4	7254	Non-responders
Erythroblast	72	0.0208635178209215	SCAF3522	4	7254	Non-responders
Hbb-bs CD8	5	0.00144885540423066	SCAF3522	4	7254	Non-responders
Monocyte	472	0.136771950159374	SCAF3522	4	7254	Non-responders
Naive CD4	247	0.0715734569689945	SCAF3522	4	7254	Non-responders
Naive CD8	206	0.0596928426543031	SCAF3522	4	7254	Non-responders
Neutrophil	412	0.119385685308606	SCAF3522	4	7254	Non-responders
NK cell	195	0.0565053607649957	SCAF3522	4	7254	Non-responders
S100a9 CD4	3	0.000869313242538395	SCAF3522	4	7254	Non-responders
S100a9 CD8	2	0.000579542161692263	SCAF3522	4	7254	Non-responders
Th1	97	0.0281077948420748	SCAF3522	4	7254	Non-responders
Treg	15	0.00434656621269197	SCAF3522	4	7254	Non-responders
B cell	1468	0.277714718123345	SCAF3551	2	7263	Non-responders
CD4 T	141	0.0266742338251986	SCAF3551	2	7263	Non-responders
Cd74 CD4	3	0.000567536889897843	SCAF3551	2	7263	Non-responders
CD8 T	132	0.0249716231555051	SCAF3551	2	7263	Non-responders
Dendritic cell	21	0.0039727582292849	SCAF3551	2	7263	Non-responders
Effector memory CD8	60	0.0113507377979569	SCAF3551	2	7263	Non-responders
Erythroblast	343	0.0648883844116534	SCAF3551	2	7263	Non-responders
Hbb-bs CD8	9	0.00170261066969353	SCAF3551	2	7263	Non-responders
Monocyte	421	0.0796443435489974	SCAF3551	2	7263	Non-responders
Naive CD4	440	0.0832387438516837	SCAF3551	2	7263	Non-responders
Naive CD8	612	0.11577752553916	SCAF3551	2	7263	Non-responders
Neutrophil	1251	0.236662883087401	SCAF3551	2	7263	Non-responders
NK cell	234	0.0442678774120318	SCAF3551	2	7263	Non-responders
S100a9 CD4	8	0.00151343170639425	SCAF3551	2	7263	Non-responders
S100a9 CD8	24	0.00454029511918275	SCAF3551	2	7263	Non-responders
Th1	78	0.0147559591373439	SCAF3551	2	7263	Non-responders
Treg	41	0.00775633749527053	SCAF3551	2	7263	Non-responders
B cell	1398	0.29757343550447	SCAF3552	1	7252	Responders
Basophil	6	0.00127713920817369	SCAF3552	1	7252	Responders
CD4 T	127	0.0270327799063431	SCAF3552	1	7252	Responders
Cd74 CD4	4	0.000851426138782461	SCAF3552	1	7252	Responders
CD8 T	93	0.0197956577266922	SCAF3552	1	7252	Responders
Dendritic cell	32	0.00681140911025969	SCAF3552	1	7252	Responders
Effector memory CD8	19	0.00404427415921669	SCAF3552	1	7252	Responders
Erythroblast	8	0.00170285227756492	SCAF3552	1	7252	Responders
Monocyte	594	0.126436781609195	SCAF3552	1	7252	Responders
Naive CD4	376	0.0800340570455513	SCAF3552	1	7252	Responders
Naive CD8	389	0.0828011919965943	SCAF3552	1	7252	Responders
Neutrophil	1391	0.296083439761601	SCAF3552	1	7252	Responders
NK cell	147	0.0312899106002554	SCAF3552	1	7252	Responders
S100a9 CD4	10	0.00212856534695615	SCAF3552	1	7252	Responders
S100a9 CD8	3	0.000638569604086846	SCAF3552	1	7252	Responders
Th1	74	0.0157513835674755	SCAF3552	1	7252	Responders
Treg	27	0.00574712643678161	SCAF3552	1	7252	Responders
B cell	2170	0.396202300529487	SCAF3553	2	7259	Non-responders
Basophil	16	0.00292130728501004	SCAF3553	2	7259	Non-responders
CD4 T	137	0.0250136936278985	SCAF3553	2	7259	Non-responders
Cd74 CD4	12	0.00219098046375753	SCAF3553	2	7259	Non-responders
CD8 T	147	0.0268395106810298	SCAF3553	2	7259	Non-responders
Dendritic cell	39	0.00712068650721198	SCAF3553	2	7259	Non-responders
Effector memory CD8	66	0.0120503925506664	SCAF3553	2	7259	Non-responders
Erythroblast	156	0.0284827460288479	SCAF3553	2	7259	Non-responders
Hbb-bs CD8	3	0.000547745115939383	SCAF3553	2	7259	Non-responders
Monocyte	666	0.121599415738543	SCAF3553	2	7259	Non-responders
Naive CD4	429	0.0783275515793317	SCAF3553	2	7259	Non-responders
Naive CD8	459	0.0838050027387256	SCAF3553	2	7259	Non-responders
Neutrophil	848	0.154829286105532	SCAF3553	2	7259	Non-responders
NK cell	161	0.0293956545554135	SCAF3553	2	7259	Non-responders
S100a9 CD4	5	0.000912908526565638	SCAF3553	2	7259	Non-responders
S100a9 CD8	9	0.00164323534781815	SCAF3553	2	7259	Non-responders
Th1	102	0.018623333941939	SCAF3553	2	7259	Non-responders
Treg	52	0.00949424867628264	SCAF3553	2	7259	Non-responders
B cell	291	0.285014691478942	SCAF3554	3	7262	Non-responders
Basophil	1	0.000979431929480901	SCAF3554	3	7262	Non-responders
CD4 T	44	0.0430950048971596	SCAF3554	3	7262	Non-responders
Cd74 CD4	2	0.0019588638589618	SCAF3554	3	7262	Non-responders
CD8 T	65	0.0636630754162586	SCAF3554	3	7262	Non-responders
Dendritic cell	10	0.00979431929480901	SCAF3554	3	7262	Non-responders
Effector memory CD8	14	0.0137120470127326	SCAF3554	3	7262	Non-responders
Erythroblast	52	0.0509304603330069	SCAF3554	3	7262	Non-responders
Hbb-bs CD8	9	0.00881488736532811	SCAF3554	3	7262	Non-responders
Monocyte	181	0.177277179236043	SCAF3554	3	7262	Non-responders
Naive CD4	96	0.0940254652301665	SCAF3554	3	7262	Non-responders
Naive CD8	113	0.110675808031342	SCAF3554	3	7262	Non-responders
Neutrophil	72	0.0705190989226249	SCAF3554	3	7262	Non-responders
NK cell	29	0.0284035259549461	SCAF3554	3	7262	Non-responders
Th1	31	0.0303623898139079	SCAF3554	3	7262	Non-responders
Treg	11	0.0107737512242899	SCAF3554	3	7262	Non-responders
B cell	1275	0.295412418906395	SCAF3555	4	7256	Non-responders
Basophil	1	0.000231696014828545	SCAF3555	4	7256	Non-responders
CD4 T	68	0.0157553290083411	SCAF3555	4	7256	Non-responders
Cd74 CD4	5	0.00115848007414272	SCAF3555	4	7256	Non-responders
CD8 T	148	0.0342910101946247	SCAF3555	4	7256	Non-responders
Dendritic cell	28	0.00648748841519926	SCAF3555	4	7256	Non-responders
Effector memory CD8	29	0.0067191844300278	SCAF3555	4	7256	Non-responders
Erythroblast	927	0.214782205746061	SCAF3555	4	7256	Non-responders
Hbb-bs CD8	30	0.00695088044485635	SCAF3555	4	7256	Non-responders
Monocyte	600	0.139017608897127	SCAF3555	4	7256	Non-responders
Naive CD4	301	0.069740500463392	SCAF3555	4	7256	Non-responders
Naive CD8	212	0.0491195551436515	SCAF3555	4	7256	Non-responders
Neutrophil	502	0.11631139944393	SCAF3555	4	7256	Non-responders
NK cell	114	0.0264133456904541	SCAF3555	4	7256	Non-responders
S100a9 CD4	1	0.000231696014828545	SCAF3555	4	7256	Non-responders
S100a9 CD8	2	0.00046339202965709	SCAF3555	4	7256	Non-responders
Th1	56	0.0129749768303985	SCAF3555	4	7256	Non-responders
Treg	17	0.00393883225208526	SCAF3555	4	7256	Non-responders
B cell	666	0.13094769956744	SCAF3556	1	7257	Non-responders
Basophil	3	0.000589854502556036	SCAF3556	1	7257	Non-responders
CD4 T	73	0.0143531262288635	SCAF3556	1	7257	Non-responders
Cd74 CD4	3	0.000589854502556036	SCAF3556	1	7257	Non-responders
CD8 T	69	0.0135666535587888	SCAF3556	1	7257	Non-responders
Dendritic cell	33	0.0064883995281164	SCAF3556	1	7257	Non-responders
Effector memory CD8	15	0.00294927251278018	SCAF3556	1	7257	Non-responders
Erythroblast	3	0.000589854502556036	SCAF3556	1	7257	Non-responders
Hbb-bs CD8	1	0.000196618167518679	SCAF3556	1	7257	Non-responders
Monocyte	916	0.18010224144711	SCAF3556	1	7257	Non-responders
Naive CD4	196	0.038537160833661	SCAF3556	1	7257	Non-responders
Naive CD8	222	0.0436492331891467	SCAF3556	1	7257	Non-responders
Neutrophil	2707	0.532245379473063	SCAF3556	1	7257	Non-responders
NK cell	85	0.0167125442390877	SCAF3556	1	7257	Non-responders
S100a9 CD4	8	0.00157294534014943	SCAF3556	1	7257	Non-responders
S100a9 CD8	8	0.00157294534014943	SCAF3556	1	7257	Non-responders
Th1	64	0.0125835627211954	SCAF3556	1	7257	Non-responders
Treg	14	0.0027526543452615	SCAF3556	1	7257	Non-responders
B cell	1989	0.461699164345404	SCAF3557	3	7263	Non-responders
CD4 T	106	0.0246053853296193	SCAF3557	3	7263	Non-responders
Cd74 CD4	16	0.00371402042711235	SCAF3557	3	7263	Non-responders
CD8 T	83	0.0192664809656453	SCAF3557	3	7263	Non-responders
Dendritic cell	34	0.00789229340761374	SCAF3557	3	7263	Non-responders
Effector memory CD8	39	0.00905292479108635	SCAF3557	3	7263	Non-responders
Erythroblast	5	0.00116063138347261	SCAF3557	3	7263	Non-responders
Hbb-bs CD8	1	0.000232126276694522	SCAF3557	3	7263	Non-responders
Monocyte	319	0.0740482822655525	SCAF3557	3	7263	Non-responders
Naive CD4	402	0.0933147632311978	SCAF3557	3	7263	Non-responders
Naive CD8	491	0.11397400185701	SCAF3557	3	7263	Non-responders
Neutrophil	531	0.123259052924791	SCAF3557	3	7263	Non-responders
NK cell	188	0.0436397400185701	SCAF3557	3	7263	Non-responders
S100a9 CD8	6	0.00139275766016713	SCAF3557	3	7263	Non-responders
Th1	71	0.016480965645311	SCAF3557	3	7263	Non-responders
Treg	27	0.00626740947075209	SCAF3557	3	7263	Non-responders
B cell	3297	0.444519347445059	SCAF3558	1	7248	Responders
Basophil	15	0.00202238101658352	SCAF3558	1	7248	Responders
CD4 T	155	0.0208979371713631	SCAF3558	1	7248	Responders
Cd74 CD4	16	0.00215720641768909	SCAF3558	1	7248	Responders
CD8 T	134	0.0180666037481461	SCAF3558	1	7248	Responders
Dendritic cell	45	0.00606714304975057	SCAF3558	1	7248	Responders
Effector memory CD8	27	0.00364028582985034	SCAF3558	1	7248	Responders
Erythroblast	5	0.000674127005527841	SCAF3558	1	7248	Responders
Monocyte	606	0.0817041930699744	SCAF3558	1	7248	Responders
Naive CD4	616	0.0830524470810301	SCAF3558	1	7248	Responders
Naive CD8	639	0.0861534313064581	SCAF3558	1	7248	Responders
Neutrophil	1509	0.203451530268303	SCAF3558	1	7248	Responders
NK cell	218	0.0293919374410139	SCAF3558	1	7248	Responders
S100a9 CD4	9	0.00121342860995011	SCAF3558	1	7248	Responders
S100a9 CD8	19	0.0025616826210058	SCAF3558	1	7248	Responders
Th1	78	0.0105163812862343	SCAF3558	1	7248	Responders
Treg	29	0.00390993663206148	SCAF3558	1	7248	Responders
B cell	1665	0.36172061698892	SCAF3559	4	7249	Non-responders
CD4 T	128	0.0278079513360852	SCAF3559	4	7249	Non-responders
Cd74 CD4	11	0.00238974581794482	SCAF3559	4	7249	Non-responders
CD8 T	126	0.0273734520964588	SCAF3559	4	7249	Non-responders
Dendritic cell	51	0.0110797306104714	SCAF3559	4	7249	Non-responders
Effector memory CD8	27	0.00586573973495546	SCAF3559	4	7249	Non-responders
Erythroblast	71	0.0154247230067347	SCAF3559	4	7249	Non-responders
Hbb-bs CD8	7	0.00152074733869216	SCAF3559	4	7249	Non-responders
Monocyte	588	0.127742776450141	SCAF3559	4	7249	Non-responders
Naive CD4	463	0.100586573973496	SCAF3559	4	7249	Non-responders
Naive CD8	481	0.104497067130133	SCAF3559	4	7249	Non-responders
Neutrophil	664	0.144253747555942	SCAF3559	4	7249	Non-responders
NK cell	194	0.0421464262437541	SCAF3559	4	7249	Non-responders
S100a9 CD4	3	0.000651748859439496	SCAF3559	4	7249	Non-responders
S100a9 CD8	6	0.00130349771887899	SCAF3559	4	7249	Non-responders
Th1	83	0.0180317184444927	SCAF3559	4	7249	Non-responders
Treg	35	0.00760373669346079	SCAF3559	4	7249	Non-responders
B cell	763	0.27298747763864	SCAF3560	4	7252	Responders
CD4 T	109	0.0389982110912343	SCAF3560	4	7252	Responders
CD8 T	130	0.0465116279069767	SCAF3560	4	7252	Responders
Dendritic cell	40	0.0143112701252236	SCAF3560	4	7252	Responders
Effector memory CD8	97	0.0347048300536673	SCAF3560	4	7252	Responders
Erythroblast	8	0.00286225402504472	SCAF3560	4	7252	Responders
Hbb-bs CD8	14	0.00500894454382826	SCAF3560	4	7252	Responders
Monocyte	476	0.170304114490161	SCAF3560	4	7252	Responders
Naive CD4	290	0.103756708407871	SCAF3560	4	7252	Responders
Naive CD8	239	0.0855098389982111	SCAF3560	4	7252	Responders
Neutrophil	321	0.114847942754919	SCAF3560	4	7252	Responders
NK cell	214	0.0765652951699463	SCAF3560	4	7252	Responders
S100a9 CD8	3	0.00107334525939177	SCAF3560	4	7252	Responders
Th1	79	0.0282647584973166	SCAF3560	4	7252	Responders
Treg	12	0.00429338103756708	SCAF3560	4	7252	Responders
B cell	1803	0.388745148771022	SCAF3561	4	7246	Responders
Basophil	3	0.000646830530401035	SCAF3561	4	7246	Responders
CD4 T	152	0.0327727468736524	SCAF3561	4	7246	Responders
Cd74 CD4	3	0.000646830530401035	SCAF3561	4	7246	Responders
CD8 T	137	0.0295385942216473	SCAF3561	4	7246	Responders
Dendritic cell	42	0.00905562742561449	SCAF3561	4	7246	Responders
Effector memory CD8	45	0.00970245795601552	SCAF3561	4	7246	Responders
Erythroblast	17	0.00366537300560586	SCAF3561	4	7246	Responders
Hbb-bs CD8	2	0.00043122035360069	SCAF3561	4	7246	Responders
Monocyte	579	0.1248382923674	SCAF3561	4	7246	Responders
Naive CD4	432	0.093143596377749	SCAF3561	4	7246	Responders
Naive CD8	429	0.092496765847348	SCAF3561	4	7246	Responders
Neutrophil	663	0.142949547218629	SCAF3561	4	7246	Responders
NK cell	220	0.0474342388960759	SCAF3561	4	7246	Responders
S100a9 CD4	2	0.00043122035360069	SCAF3561	4	7246	Responders
S100a9 CD8	3	0.000646830530401035	SCAF3561	4	7246	Responders
Th1	79	0.0170332039672273	SCAF3561	4	7246	Responders
Treg	27	0.00582147477360931	SCAF3561	4	7246	Responders
B cell	2430	0.560941828254848	SCAF3562	4	7258	Responders
CD4 T	105	0.0242382271468144	SCAF3562	4	7258	Responders
Cd74 CD4	5	0.00115420129270545	SCAF3562	4	7258	Responders
CD8 T	166	0.0383194829178209	SCAF3562	4	7258	Responders
Dendritic cell	46	0.0106186518928901	SCAF3562	4	7258	Responders
Effector memory CD8	67	0.015466297322253	SCAF3562	4	7258	Responders
Erythroblast	59	0.0136195752539243	SCAF3562	4	7258	Responders
Hbb-bs CD8	19	0.0043859649122807	SCAF3562	4	7258	Responders
Monocyte	374	0.0863342566943675	SCAF3562	4	7258	Responders
Naive CD4	294	0.0678670360110803	SCAF3562	4	7258	Responders
Naive CD8	231	0.0533240997229917	SCAF3562	4	7258	Responders
Neutrophil	211	0.0487072945521699	SCAF3562	4	7258	Responders
NK cell	164	0.0378578024007387	SCAF3562	4	7258	Responders
S100a9 CD4	1	0.00023084025854109	SCAF3562	4	7258	Responders
S100a9 CD8	2	0.000461680517082179	SCAF3562	4	7258	Responders
Th1	141	0.0325484764542936	SCAF3562	4	7258	Responders
Treg	17	0.00392428439519852	SCAF3562	4	7258	Responders
B cell	1822	0.324835086468176	SCAF3563	1	7246	Responders
Basophil	3	0.000534854697807096	SCAF3563	1	7246	Responders
CD4 T	72	0.0128365127473703	SCAF3563	1	7246	Responders
Cd74 CD4	5	0.00089142449634516	SCAF3563	1	7246	Responders
CD8 T	67	0.0119450882510251	SCAF3563	1	7246	Responders
Dendritic cell	35	0.00623997147441612	SCAF3563	1	7246	Responders
Effector memory CD8	19	0.00338741308611161	SCAF3563	1	7246	Responders
Erythroblast	8	0.00142627919415226	SCAF3563	1	7246	Responders
Monocyte	498	0.0887858798359779	SCAF3563	1	7246	Responders
Naive CD4	254	0.0452843644143341	SCAF3563	1	7246	Responders
Naive CD8	202	0.0360135496523444	SCAF3563	1	7246	Responders
Neutrophil	2412	0.430023177036905	SCAF3563	1	7246	Responders
NK cell	119	0.0212159030130148	SCAF3563	1	7246	Responders
S100a9 CD4	10	0.00178284899269032	SCAF3563	1	7246	Responders
S100a9 CD8	8	0.00142627919415226	SCAF3563	1	7246	Responders
Th1	52	0.00927081476198966	SCAF3563	1	7246	Responders
Treg	23	0.00410055268318773	SCAF3563	1	7246	Responders
B cell	1875	0.370553359683794	SCAF3564	3	7251	Responders
CD4 T	97	0.0191699604743083	SCAF3564	3	7251	Responders
Cd74 CD4	10	0.00197628458498024	SCAF3564	3	7251	Responders
CD8 T	116	0.0229249011857708	SCAF3564	3	7251	Responders
Dendritic cell	49	0.00968379446640316	SCAF3564	3	7251	Responders
Effector memory CD8	87	0.0171936758893281	SCAF3564	3	7251	Responders
Erythroblast	201	0.0397233201581028	SCAF3564	3	7251	Responders
Hbb-bs CD8	6	0.00118577075098814	SCAF3564	3	7251	Responders
Monocyte	512	0.101185770750988	SCAF3564	3	7251	Responders
Naive CD4	366	0.0723320158102767	SCAF3564	3	7251	Responders
Naive CD8	324	0.0640316205533597	SCAF3564	3	7251	Responders
Neutrophil	1082	0.213833992094862	SCAF3564	3	7251	Responders
NK cell	175	0.0345849802371542	SCAF3564	3	7251	Responders
S100a9 CD4	6	0.00118577075098814	SCAF3564	3	7251	Responders
S100a9 CD8	8	0.00158102766798419	SCAF3564	3	7251	Responders
Th1	111	0.0219367588932806	SCAF3564	3	7251	Responders
Treg	35	0.00691699604743083	SCAF3564	3	7251	Responders
B cell	1361	0.249450146627566	SCAF3565	2	7258	Responders
CD4 T	143	0.0262096774193548	SCAF3565	2	7258	Responders
Cd74 CD4	10	0.00183284457478006	SCAF3565	2	7258	Responders
CD8 T	160	0.0293255131964809	SCAF3565	2	7258	Responders
Dendritic cell	56	0.0102639296187683	SCAF3565	2	7258	Responders
Effector memory CD8	54	0.00989736070381232	SCAF3565	2	7258	Responders
Erythroblast	478	0.0876099706744868	SCAF3565	2	7258	Responders
Hbb-bs CD8	6	0.00109970674486804	SCAF3565	2	7258	Responders
Monocyte	933	0.171004398826979	SCAF3565	2	7258	Responders
Naive CD4	521	0.0954912023460411	SCAF3565	2	7258	Responders
Naive CD8	275	0.0504032258064516	SCAF3565	2	7258	Responders
Neutrophil	1169	0.214259530791789	SCAF3565	2	7258	Responders
NK cell	101	0.0185117302052786	SCAF3565	2	7258	Responders
S100a9 CD4	8	0.00146627565982405	SCAF3565	2	7258	Responders
S100a9 CD8	9	0.00164956011730205	SCAF3565	2	7258	Responders
Th1	121	0.0221774193548387	SCAF3565	2	7258	Responders
Treg	51	0.0093475073313783	SCAF3565	2	7258	Responders
B cell	1682	0.364779874213836	SCAF3566	3	7252	Responders
CD4 T	154	0.0333983951420516	SCAF3566	3	7252	Responders
Cd74 CD4	2	0.000433745391455216	SCAF3566	3	7252	Responders
CD8 T	134	0.0290609412274995	SCAF3566	3	7252	Responders
Dendritic cell	51	0.011060507482108	SCAF3566	3	7252	Responders
Effector memory CD8	60	0.0130123617436565	SCAF3566	3	7252	Responders
Erythroblast	53	0.0114942528735632	SCAF3566	3	7252	Responders
Hbb-bs CD8	6	0.00130123617436565	SCAF3566	3	7252	Responders
Monocyte	614	0.133159835176751	SCAF3566	3	7252	Responders
Naive CD4	411	0.0891346779440469	SCAF3566	3	7252	Responders
Naive CD8	537	0.116460637605725	SCAF3566	3	7252	Responders
Neutrophil	488	0.105833875515073	SCAF3566	3	7252	Responders
NK cell	220	0.0477119930600737	SCAF3566	3	7252	Responders
S100a9 CD4	5	0.00108436347863804	SCAF3566	3	7252	Responders
S100a9 CD8	3	0.000650618087182824	SCAF3566	3	7252	Responders
Th1	140	0.0303621774018651	SCAF3566	3	7252	Responders
Treg	51	0.011060507482108	SCAF3566	3	7252	Responders
B cell	2168	0.458254068907208	SCAF3567	3	7248	Responders
Basophil	1	0.00021137180300148	SCAF3567	3	7248	Responders
CD4 T	129	0.0272669625871909	SCAF3567	3	7248	Responders
Cd74 CD4	11	0.00232508983301628	SCAF3567	3	7248	Responders
CD8 T	81	0.0171211160431198	SCAF3567	3	7248	Responders
Dendritic cell	29	0.00612978228704291	SCAF3567	3	7248	Responders
Effector memory CD8	31	0.00655252589304587	SCAF3567	3	7248	Responders
Erythroblast	11	0.00232508983301628	SCAF3567	3	7248	Responders
Hbb-bs CD8	1	0.00021137180300148	SCAF3567	3	7248	Responders
